"","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueDragons","blueHeralds","blueTowersDestroyed","blueAvgLevel","blueTotalMinionsKilled","blueTotalJungleMinionsKilled","blueWins","blueGoldDiff","blueExperienceDiff"
"2845",22,0,1,3,-3,3,0,1,-1,-1,0.2,-11,-4,1,136,365
"2846",-26,6,-1,3,-3,7,2,1,1,0,0.4,5,8,0,1339,1176
"2847",-41,1,1,1,-1,-1,1,0,1,0,0.600000000000001,8,44,1,2521,3096
"2848",-79,0,1,8,-8,12,0,0,0,0,0.800000000000001,4,-11,1,4255,2387
"2849",3,-3,-1,0,0,2,0,0,0,0,0.2,-5,23,1,-302,764
"2850",-5,-1,-1,-5,5,-13,-1,-1,0,-1,0,-17,15,0,-2741,-425
"2851",35,1,1,5,-5,4,2,1,1,1,1,60,-14,1,3675,2389
"2852",-4,1,-1,0,0,-3,1,1,0,0,-0.4,-7,12,0,46,-1299
"2853",0,2,1,6,-6,16,0,1,-1,0,0.2,-17,-13,1,1071,107
"2854",-21,2,-1,-3,3,-8,2,1,1,0,0.600000000000001,5,31,1,-427,1475
"2855",-28,-2,-1,2,-2,3,2,1,1,0,0.2,47,-9,0,1184,1807
"2856",-22,3,-1,0,0,3,-1,-1,0,0,-0.2,17,-10,0,56,-694
"2857",1,0,-1,4,-4,5,-1,-1,0,0,0,39,-16,1,2201,615
"2858",-24,0,1,-2,2,-5,-1,-1,0,0,-0.4,37,-12,0,-610,-1156
"2859",1,0,1,4,-4,3,2,1,1,1,0.600000000000001,37,12,1,3974,2785
"2860",8,0,-1,0,0,-1,1,1,0,0,0.2,20,-26,0,118,299
"2861",-21,-1,-1,-1,1,-3,0,0,0,0,0.2,66,-12,0,955,748
"2862",25,-2,1,-3,3,-1,-2,-1,-1,0,-0.2,22,-15,0,-686,-893
"2863",-22,-2,-1,-2,2,-7,0,1,-1,0,-0.2,4,12,1,-1086,-637
"2864",15,4,1,4,-4,6,0,-1,1,0,0,16,4,1,2411,875
"2865",4,-1,1,9,-9,18,-1,-1,0,0,0.800000000000001,60,-4,1,5337,3334
"2866",-1,1,1,4,-4,6,-1,0,-1,0,0,-20,-1,1,2040,725
"2867",-22,2,-1,-6,6,-7,0,-1,1,0,0.4,50,7,0,-2139,868
"2868",-11,0,1,-4,4,-5,2,1,1,0,0,9,-2,0,-1231,-888
"2869",5,-2,-1,2,-2,3,0,-1,1,0,0.4,-1,8,1,1947,1677
"2870",14,3,1,1,-1,6,-1,-1,0,0,0,5,-13,0,653,-556
"2871",10,1,1,-2,2,0,0,0,0,0,-0.2,-4,-9,1,-1149,-1888
"2872",51,-15,-1,-3,3,-4,1,1,0,0,-0.2,33,14,0,-911,-870
"2873",-25,1,-1,-5,5,-5,1,1,0,-1,-0.6,-64,5,0,-4752,-2451
"2874",-5,5,1,1,-1,1,0,-1,1,0,0,18,-15,1,296,440
"2875",0,0,-1,2,-2,8,-1,-1,0,0,0,-31,7,1,1163,-539
"2876",-3,-5,-1,-3,3,-2,-1,-1,0,0,0,-47,23,0,-1672,-470
"2877",-22,-3,-1,-4,4,-4,0,0,0,0,-0.4,-20,-12,0,-2502,-3183
"2878",4,0,-1,-1,1,0,-1,-1,0,0,-0.2,-45,-9,1,-1833,-917
"2879",1,1,1,3,-3,-5,-1,-1,0,0,-0.600000000000001,-7,-12,0,531,-881
"2880",1,-1,1,7,-7,7,1,1,0,0,0.4,30,-10,1,3710,2326
"2881",-7,0,-1,2,-2,4,-2,-1,-1,0,0,-4,18,1,675,691
"2882",4,-1,1,6,-6,10,1,1,0,0,0.2,37,0,1,2783,2368
"2883",5,0,-1,-3,3,-4,-1,-1,0,0,-0.4,-16,-13,0,-1945,-2496
"2884",-34,1,-1,0,0,0,-2,-1,-1,0,-0.2,5,5,1,183,-231
"2885",-4,0,1,-1,1,-1,1,1,0,0,0.4,46,-3,0,960,813
"2886",3,3,1,0,0,3,2,1,1,0,0.2,26,-2,0,1191,-311
"2887",-3,1,1,12,-12,13,0,1,-1,2,1.6,29,10,1,8450,6098
"2888",-1,-2,-1,1,-1,4,-1,-1,0,0,0.2,2,-18,0,-305,685
"2889",8,-1,1,12,-12,13,2,1,1,1,1.2,24,-4,1,6487,4018
"2890",16,-2,-1,-1,1,1,-1,-1,0,0,0,-17,-6,0,-1213,-1099
"2891",-40,0,-1,-4,4,-5,-2,-1,-1,-1,-0.600000000000001,6,-27,0,-3673,-2499
"2892",-4,-2,-1,-4,4,-5,-1,-1,0,0,-0.600000000000001,4,-3,0,-2109,-1475
"2893",-1,0,-1,3,-3,-1,-1,-1,0,0,0.4,34,-11,0,1219,1356
"2894",-6,1,1,-5,5,-3,-1,-1,0,0,-0.8,-18,-10,0,-1905,-2223
"2895",-35,2,-1,5,-5,6,-1,-1,0,0,0.399999999999999,23,1,1,2170,1207
"2896",-18,1,-1,2,-2,3,0,1,-1,0,0.2,27,-20,1,620,146
"2897",0,1,-1,-3,3,-6,-2,-1,-1,0,-0.4,-29,9,0,-1972,-1621
"2898",-15,-2,1,3,-3,-3,2,1,1,0,0.2,13,31,0,1530,2220
"2899",1,2,1,2,-2,2,0,1,-1,0,-0.2,14,-7,1,1163,-1176
"2900",-3,-1,-1,-5,5,-4,-1,-1,0,0,0,-14,-2,0,-2619,-1506
"2901",-7,0,1,1,-1,-5,0,0,0,0,0.4,5,23,1,584,1023
"2902",0,1,1,6,-6,9,-1,-1,0,0,0.2,20,-6,1,2910,856
"2903",-4,2,-1,-3,3,-7,-1,-1,0,0,-0.600000000000001,31,-22,0,-1057,-1798
"2904",-9,0,1,-1,1,0,-1,-1,0,0,0.2,5,-15,1,-50,563
"2905",-5,0,1,-7,7,-2,-2,-1,-1,0,-0.6,34,-16,0,-2084,-2025
"2906",1,-2,-1,1,-1,-8,0,0,0,0,0,-2,28,1,469,1328
"2907",23,-3,-1,0,0,1,-1,-1,0,0,-0.4,-18,-4,1,-293,-818
"2908",23,1,-1,4,-4,5,-1,-1,0,0,0.4,1,0,1,1031,1909
"2909",-1,-4,1,-1,1,0,-2,-1,-1,0,-0.600000000000001,15,-12,0,-726,-1168
"2910",1,-5,-1,-4,4,-8,2,1,1,0,-0.600000000000001,-33,-17,1,-2511,-2094
"2911",-20,-1,1,2,-2,2,-1,0,-1,0,-0.2,-31,-11,0,489,-1163
"2912",0,-1,-1,-4,4,-1,-1,-1,0,0,0,2,4,0,-999,-955
"2913",-3,2,-1,-1,1,0,-1,-1,0,0,-0.2,-28,11,1,-1366,-242
"2914",0,6,1,5,-5,12,1,1,0,0,0,16,12,0,2958,983
"2915",-1,1,1,-5,5,-7,1,1,0,0,-0.4,-36,19,0,-3095,-2200
"2916",6,-2,-1,2,-2,4,-1,-1,0,0,0.8,-2,-4,0,709,1449
"2917",1,3,-1,1,-1,0,0,0,0,0,0,14,-5,0,-540,238
"2918",-7,-3,1,9,-9,6,1,1,0,0,0.8,37,-8,1,5041,3996
"2919",28,-6,-1,2,-2,14,-1,0,-1,0,0.2,36,12,1,1714,1487
"2920",-4,0,-1,0,0,2,-1,-1,0,0,0,2,-14,1,-844,139
"2921",3,2,1,3,-3,2,1,1,0,0,0.4,10,4,1,1737,1565
"2922",0,-2,-1,-2,2,0,-1,-1,0,0,0.2,-7,24,1,109,66
"2923",-36,2,1,0,0,2,0,1,-1,0,0.2,31,-7,1,686,-89
"2924",-4,-4,-1,-2,2,2,-2,-1,-1,0,0,-14,-8,0,-1537,93
"2925",-4,-3,-1,-2,2,-6,-1,-1,0,0,-0.4,-2,-16,0,-1790,-1980
"2926",96,-2,-1,0,0,1,0,0,0,0,0,0,28,0,1044,662
"2927",0,0,-1,-1,1,-5,-1,-1,0,0,0.2,-2,8,0,-1302,1008
"2928",132,1,-1,4,-4,8,-1,-1,0,0,0.600000000000001,-2,-12,0,1627,1723
"2929",-8,4,-1,-2,2,-8,0,0,0,0,-0.600000000000001,-33,15,1,-2221,-365
"2930",42,1,-1,0,0,-1,-1,0,-1,-2,-0.600000000000001,16,-8,1,-1874,-1002
"2931",69,-3,1,-4,4,-4,-1,-1,0,0,0,1,10,1,-545,-1102
"2932",0,4,1,4,-4,7,0,1,-1,0,0,11,-8,1,2423,295
"2933",-6,3,-1,-6,6,-17,1,1,0,0,-0.6,5,48,0,-2001,-1137
"2934",-7,1,1,-10,10,-5,-1,-1,0,0,-1.4,-111,-22,0,-7206,-6046
"2935",3,0,1,1,-1,6,0,0,0,0,-0.4,-18,-16,1,494,-1338
"2936",23,10,-1,1,-1,-1,0,-1,1,0,0,-20,7,0,496,1530
"2937",-4,1,1,-1,1,0,-2,-1,-1,0,-0.4,35,12,0,568,-205
"2938",0,2,1,7,-7,12,-1,-1,0,0,0.6,4,8,1,3424,1624
"2939",16,-1,-1,0,0,4,1,1,0,0,0.4,2,0,0,549,429
"2940",-35,4,-1,3,-3,7,0,1,-1,0,-0.2,27,-4,0,1506,-169
"2941",12,-2,1,5,-5,0,0,0,0,0,0.800000000000001,16,37,1,2833,3175
"2942",0,2,-1,2,-2,5,-1,-1,0,0,0.600000000000001,3,-16,0,773,1125
"2943",-2,-3,-1,-4,4,1,1,1,0,0,-0.8,-28,-16,0,-2146,-3245
"2944",2,3,1,6,-6,2,1,1,0,0,0.4,1,19,0,2399,1719
"2945",-7,-3,1,3,-3,4,2,1,1,0,0.2,-16,-4,0,453,76
"2946",-1,-5,1,4,-4,2,1,0,1,0,0.2,14,10,1,2533,1568
"2947",0,-1,1,11,-11,10,0,0,0,0,0.800000000000001,7,2,1,5077,3251
"2948",1,-1,-1,-5,5,-4,-1,-1,0,0,-1.2,-54,-6,0,-4699,-4580
"2949",-12,0,-1,-3,3,-2,-2,-1,-1,0,-0.800000000000001,-7,-32,0,-2161,-3222
"2950",-1,2,-1,0,0,-5,0,0,0,0,0,-41,36,1,-795,-117
"2951",4,-1,1,0,0,-4,0,0,0,0,-0.2,17,-15,1,875,-391
"2952",-21,-1,-1,-3,3,-3,1,1,0,0,0,-11,4,0,-1556,-887
"2953",0,1,-1,-8,8,-11,0,-1,1,0,-0.4,-33,10,0,-4019,-2008
"2954",-8,-1,1,-1,1,-3,-1,-1,0,0,0,-8,-22,1,-609,-1114
"2955",0,-1,-1,-4,4,0,-2,-1,-1,0,-0.2,-46,3,0,-2152,-2041
"2956",3,-1,-1,0,0,1,1,1,0,0,0,-59,-2,0,-1509,-358
"2957",36,1,1,0,0,-6,-1,-1,0,0,0.4,15,4,1,-308,1739
"2958",16,3,-1,-7,7,-9,-1,-1,0,0,-0.4,-55,-31,0,-4473,-3040
"2959",-5,3,1,3,-3,4,0,0,0,0,0.4,19,-5,1,2991,1357
"2960",-22,10,-1,-3,3,-2,0,0,0,0,-0.600000000000001,-32,-26,0,-2416,-3217
"2961",131,1,1,-2,2,-2,-1,-1,0,0,0,-8,21,0,-132,119
"2962",-4,-4,-1,0,0,-3,0,0,0,0,0,-2,-3,1,91,591
"2963",5,-1,1,0,0,-5,-1,0,-1,0,0,-40,12,1,-842,2032
"2964",22,-4,-1,-7,7,-11,0,0,0,0,0,34,-18,0,-2302,-997
"2965",-41,2,1,4,-4,7,1,1,0,0,0.2,26,3,1,2463,1390
"2966",14,0,-1,-5,5,2,-2,-1,-1,0,-0.800000000000001,-66,-44,0,-4264,-3932
"2967",-27,1,-1,-9,9,-21,-1,-1,0,0,-0.8,40,3,0,-3480,-1368
"2968",-8,0,-1,-3,3,-7,1,1,0,0,0.2,5,15,1,-1207,606
"2969",-6,6,-1,-7,7,2,-2,-1,-1,0,-0.600000000000001,-36,-29,0,-4664,-2707
"2970",34,-10,1,8,-8,10,2,1,1,0,0.600000000000001,30,15,1,4888,3753
"2971",-11,5,1,2,-2,2,-1,-1,0,0,0.2,21,-8,1,1433,508
"2972",-1,0,-1,4,-4,8,2,1,1,0,0.4,14,0,0,1713,1673
"2973",44,1,-1,-1,1,-3,2,1,1,0,0,-26,0,0,-328,137
"2974",-18,0,-1,4,-4,5,1,1,0,0,0.2,33,-5,1,2726,1990
"2975",-2,1,-1,-2,2,1,-1,-1,0,0,-0.2,11,-9,0,-648,-1422
"2976",-3,-4,-1,1,-1,-2,2,1,1,0,0,-70,0,1,-286,-916
"2977",4,-9,1,11,-11,9,-1,0,-1,0,1.2,34,12,1,5300,4813
"2978",2,-1,1,-8,8,-8,-1,-1,0,-1,-0.600000000000001,-1,9,0,-4835,-3655
"2979",-3,3,1,-1,1,-2,0,0,0,0,-0.6,-33,-13,0,-592,-2438
"2980",43,-1,1,12,-12,18,0,0,0,2,1.6,103,15,1,7776,6703
"2981",7,-1,-1,2,-2,7,1,1,0,0,0.2,17,2,1,1909,1099
"2982",4,1,1,-3,3,-3,1,0,1,1,0,72,11,1,1942,450
"2983",1,0,-1,1,-1,-1,-2,-1,-1,0,-0.2,4,21,0,16,560
"2984",30,-5,-1,-3,3,-3,-1,-1,0,0,0.2,28,12,1,-860,949
"2985",4,1,-1,-1,1,-2,-1,-1,0,0,-0.600000000000001,-52,-7,0,-2308,-1946
"2986",-3,2,-1,1,-1,4,1,0,1,0,-0.399999999999999,-52,-8,1,-460,-1189
"2987",-2,-1,-1,3,-3,3,-1,0,-1,0,0.2,6,-12,1,799,440
"2988",-27,16,1,2,-2,2,1,1,0,0,0,6,-3,1,886,355
"2989",4,1,-1,-8,8,-6,0,0,0,0,-0.8,-26,13,0,-3300,-3318
"2990",0,-1,-1,-6,6,-9,-1,0,-1,-2,-1.6,-87,-48,0,-9341,-6317
"2991",72,3,1,7,-7,13,1,1,0,0,0.8,0,-3,1,3851,1574
"2992",4,0,-1,3,-3,2,1,1,0,0,0,-59,15,0,-147,21
"2993",-6,-2,1,2,-2,7,1,0,1,0,0.2,-19,18,1,1698,1171
"2994",3,0,-1,0,0,-1,-1,-1,0,0,-0.4,-1,-13,0,-966,-901
"2995",3,-2,-1,6,-6,13,1,1,0,0,0.2,6,-13,0,3454,175
"2996",-40,-4,-1,-1,1,-2,0,-1,1,0,-0.6,-72,-8,0,-2673,-1867
"2997",-5,-4,-1,-1,1,-3,-1,-1,0,0,0,-36,1,0,-482,-349
"2998",2,2,1,-2,2,0,-1,-1,0,0,-0.2,6,1,1,-298,0
"2999",-86,-3,1,2,-2,1,1,1,0,0,-0.2,-49,12,1,-224,-765
"3000",0,-3,1,-6,6,-14,-1,-1,0,0,0,10,9,0,-1683,-377
"3001",-21,4,-1,5,-5,2,0,0,0,0,0.4,70,-1,1,2514,2924
"3002",-26,2,-1,0,0,-4,0,1,-1,0,0,3,-1,0,81,450
"3003",-4,-2,-1,1,-1,2,1,1,0,0,0,-18,7,1,420,521
"3004",0,0,-1,0,0,4,1,0,1,0,-0.2,-42,10,1,-1167,259
"3005",28,0,-1,0,0,2,0,-1,1,0,0.2,-19,-2,1,-99,151
"3006",1,2,1,0,0,3,0,0,0,0,0.4,6,4,1,387,1781
"3007",4,0,-1,-3,3,-2,0,0,0,0,0,-3,9,0,-1700,-1053
"3008",-23,0,-1,-3,3,-3,0,-1,1,0,-0.2,-14,11,1,-820,-298
"3009",3,-4,-1,-8,8,-14,0,-1,1,-1,-0.8,23,-18,1,-3945,-1758
"3010",-6,-1,-1,-4,4,-4,0,-1,1,0,-0.6,-79,4,0,-3238,-1130
"3011",-20,-1,1,-4,4,-5,1,1,0,0,-0.2,-39,-12,0,-2511,-2347
"3012",-30,-2,1,2,-2,4,1,1,0,0,0,40,-3,0,1433,1278
"3013",-1,-1,1,-4,4,-10,0,0,0,0,-0.4,12,-3,0,-1037,-1057
"3014",-5,5,-1,1,-1,2,1,1,0,0,0.4,34,21,1,1344,1628
"3015",-2,-1,-1,0,0,-1,2,1,1,0,0,11,-6,0,-245,330
"3016",4,3,1,9,-9,4,1,1,0,1,0.600000000000001,61,-10,1,5920,2703
"3017",-3,0,1,-2,2,-1,1,1,0,0,0,13,12,1,539,774
"3018",2,1,1,1,-1,1,0,0,0,0,0.2,7,-6,0,708,302
"3019",1,-3,-1,5,-5,6,0,0,0,0,0.6,42,0,0,2876,2805
"3020",8,-5,1,-2,2,2,0,0,0,0,0,41,-7,1,-184,408
"3021",6,3,-1,-2,2,2,1,1,0,0,-0.2,41,-8,0,-101,-380
"3022",-1,2,-1,-10,10,-5,-2,-1,-1,0,-1,-26,-26,0,-5563,-4698
"3023",-21,-1,1,-1,1,5,1,1,0,0,-0.6,4,12,1,-447,-2127
"3024",1,1,1,3,-3,6,1,1,0,0,0.399999999999999,-53,27,1,1487,1143
"3025",10,-1,-1,2,-2,3,0,1,-1,0,0.2,2,-1,1,1126,878
"3026",3,-3,-1,3,-3,1,0,0,0,0,0.4,21,0,1,1795,1933
"3027",33,-1,1,8,-8,12,1,1,0,0,0.399999999999999,12,-1,1,4216,2141
"3028",-5,1,1,-1,1,2,0,1,-1,0,-0.2,-11,-21,0,-1517,-972
"3029",1,1,-1,7,-7,6,-2,-1,-1,0,0.4,-50,-6,0,1236,149
"3030",4,-1,1,2,-2,5,2,1,1,0,0.4,55,2,1,2489,1473
"3031",-3,1,1,0,0,-3,0,-1,1,0,0.4,49,-12,0,1259,1281
"3032",27,-3,1,5,-5,7,0,-1,1,0,0.4,18,9,1,3281,1747
"3033",-45,1,-1,0,0,3,-1,-1,0,0,0,10,-31,0,-1136,-1235
"3034",3,-1,-1,-4,4,-2,-1,-1,0,0,-0.600000000000001,-70,-29,0,-5838,-4101
"3035",3,-2,1,3,-3,2,-1,-1,0,0,0.2,65,13,1,1973,1461
"3036",-14,0,1,1,-1,0,1,1,0,0,0,0,-12,0,592,-875
"3037",-3,0,1,-6,6,-9,1,1,0,0,-0.600000000000001,3,6,0,-2492,-1526
"3038",1,-1,1,-4,4,-9,1,1,0,0,-0.4,-5,16,0,-1490,-1624
"3039",-32,1,1,2,-2,7,1,1,0,0,0.6,33,12,1,2957,2549
"3040",-27,-1,-1,-7,7,-6,1,1,0,0,-1.2,-28,-18,0,-4927,-5216
"3041",-28,-1,-1,-9,9,-9,-1,-1,0,0,-0.800000000000001,-85,7,0,-4879,-3465
"3042",-3,-2,1,0,0,-3,2,1,1,0,0,4,-12,1,-424,-1075
"3043",3,-1,1,2,-2,-1,-1,-1,0,0,-0.600000000000001,-7,-32,0,-1018,-1531
"3044",39,0,1,3,-3,-1,0,-1,1,0,0,-21,22,1,907,-86
"3045",-6,1,-1,-4,4,-3,0,0,0,0,-0.6,-49,-1,0,-3445,-2015
"3046",21,1,-1,2,-2,2,0,0,0,0,0,-30,23,1,152,-486
"3047",-38,-2,-1,-6,6,-14,0,0,0,0,-0.399999999999999,-24,-8,0,-4456,-2336
"3048",2,1,1,0,0,-5,0,0,0,0,0,7,6,1,69,-232
"3049",-3,1,1,3,-3,0,-1,-1,0,0,0.2,-4,11,0,868,1728
"3050",-36,-3,-1,-2,2,-3,1,0,1,0,0.2,-9,20,0,209,1023
"3051",2,-3,1,-1,1,1,1,1,0,0,-0.4,-38,-5,0,-1611,-1931
"3052",-3,2,1,2,-2,7,1,1,0,0,0,-20,-2,1,385,-71
"3053",-55,-2,-1,-3,3,-13,-1,-1,0,0,-1.4,-34,-11,0,-3750,-4961
"3054",-30,5,1,-1,1,0,0,0,0,0,0.2,0,16,1,25,327
"3055",-2,1,-1,-1,1,-1,1,1,0,0,-0.2,-33,5,0,-388,-619
"3056",-3,3,1,4,-4,2,0,0,0,1,0.399999999999999,-7,-1,1,1930,425
"3057",35,-1,1,0,0,5,0,0,0,0,-0.2,-13,-4,0,517,-593
"3058",-66,1,1,-1,1,2,2,1,1,0,0,11,21,1,-214,1004
"3059",-3,2,-1,3,-3,1,1,1,0,0,0.6,53,16,1,2229,2851
"3060",-1,-3,1,6,-6,5,2,1,1,0,-0.2,-22,17,0,1953,1494
"3061",-7,1,-1,-2,2,-1,-2,-1,-1,0,-0.4,-10,6,0,-781,-1296
"3062",4,3,-1,0,0,-1,-2,-1,-1,0,0.2,-13,19,1,380,1750
"3063",22,-1,-1,-1,1,-3,0,0,0,0,-0.2,7,-8,0,-758,733
"3064",-1,1,-1,4,-4,4,-1,-1,0,0,0.4,25,6,1,3072,1589
"3065",1,1,-1,3,-3,4,0,-1,1,0,0.4,12,10,1,2549,1269
"3066",23,2,1,3,-3,0,2,1,1,0,0.399999999999999,36,8,1,2427,2303
"3067",-1,2,-1,-1,1,4,0,-1,1,0,-0.4,-45,-15,0,-844,-689
"3068",-8,2,1,-3,3,-4,1,1,0,0,-0.8,1,-8,0,-1394,-2258
"3069",-1,0,1,7,-7,-2,2,1,1,3,1.4,83,12,1,7128,6117
"3070",28,-20,1,0,0,-3,2,1,1,0,0.2,4,-10,0,-826,38
"3071",4,-1,-1,3,-3,3,1,1,0,0,0.2,43,-16,0,1233,251
"3072",38,-5,1,3,-3,2,1,0,1,0,-0.2,-32,5,1,476,467
"3073",-2,-2,-1,-6,6,-15,1,1,0,0,-0.2,-36,-4,0,-2587,-1470
"3074",4,-1,1,6,-6,7,0,0,0,1,0.2,13,-12,0,3763,874
"3075",-4,2,-1,-5,5,-5,1,1,0,0,-0.4,6,-7,0,-2968,-2159
"3076",6,1,1,-1,1,4,0,0,0,0,-0.6,-35,-2,1,-384,-1658
"3077",-2,2,-1,-1,1,1,0,0,0,0,-0.2,-35,-13,0,-1673,-327
"3078",13,-1,1,1,-1,-7,0,0,0,0,0.4,-32,23,0,-466,-26
"3079",-44,-3,-1,-12,12,-9,0,0,0,-1,-1.8,-87,-8,0,-8461,-7340
"3080",1,3,1,-2,2,3,-2,-1,-1,-1,-1,-36,-27,0,-3682,-3599
"3081",4,-1,1,4,-4,14,0,0,0,0,0.6,38,16,0,3544,2399
"3082",0,0,1,4,-4,1,0,0,0,0,0.8,15,-5,1,2008,2566
"3083",4,0,1,2,-2,3,0,0,0,0,0.2,57,13,1,3100,1653
"3084",-72,-1,-1,-9,9,-6,-1,0,-1,0,-0.8,2,-5,0,-3576,-3516
"3085",-1,0,-1,1,-1,6,-1,0,-1,0,0.800000000000001,15,6,1,775,1702
"3086",3,3,1,4,-4,10,1,1,0,0,0.199999999999999,-21,-11,1,1515,857
"3087",1,-1,1,-2,2,7,-1,-1,0,0,0,-21,17,0,-82,117
"3088",-19,-1,1,-1,1,-4,-1,-1,0,0,-0.4,-17,2,0,-903,-1584
"3089",27,-3,-1,-9,9,-6,-1,-1,0,0,-0.6,-39,-5,0,-5802,-3559
"3090",1,-1,-1,-1,1,-5,-1,-1,0,1,0.2,11,28,1,1492,1607
"3091",-5,5,1,-1,1,7,-1,-1,0,0,0.2,1,5,1,246,1266
"3092",19,0,1,7,-7,9,-1,-1,0,0,1.2,30,22,1,4826,4472
"3093",-1,0,1,1,-1,-3,-1,-1,0,1,0.399999999999999,19,-3,1,1085,775
"3094",-1,0,1,6,-6,10,1,1,0,0,0,-14,2,1,2158,640
"3095",4,-1,1,5,-5,3,-2,-1,-1,0,0.4,75,14,1,3181,3298
"3096",-23,2,1,4,-4,3,1,1,0,0,0,-35,1,1,1629,677
"3097",4,1,-1,1,-1,-1,-1,-1,0,0,0.8,21,21,0,782,1903
"3098",-9,6,1,0,0,-2,0,1,-1,0,-0.4,-29,3,0,-1328,-317
"3099",-2,0,-1,4,-4,2,0,0,0,0,0,15,0,1,794,577
"3100",-17,-2,-1,-2,2,-1,-1,-1,0,0,-0.4,-57,-24,0,-2809,-1673
"3101",-35,-2,-1,-4,4,-3,-1,0,-1,1,-0.4,-10,-9,0,-833,-1786
"3102",-14,0,-1,-6,6,-8,0,0,0,0,-0.4,2,-13,0,-3337,-1701
"3103",-15,-1,-1,3,-3,9,1,1,0,0,0,0,-1,1,1532,1453
"3104",2,-2,1,-2,2,-5,-1,-1,0,0,0.2,-36,19,0,-1066,10
"3105",2,-1,-1,-3,3,-5,0,0,0,0,-0.2,26,4,1,-477,-513
"3106",-2,-1,-1,4,-4,4,-1,-1,0,0,0.8,14,0,1,1696,2266
"3107",0,1,1,5,-5,9,2,1,1,0,0.2,-17,4,1,2889,1215
"3108",-7,6,1,4,-4,-1,1,0,1,0,0.8,9,21,1,2156,3157
"3109",1,0,-1,-4,4,-7,0,0,0,0,0,17,8,0,-1281,-602
"3110",3,-1,-1,0,0,-5,1,0,1,0,0.2,3,15,0,85,765
"3111",0,3,1,3,-3,0,-1,-1,0,0,0.600000000000001,0,-5,0,1761,1895
"3112",-22,-1,-1,-4,4,-6,1,1,0,0,0,5,8,0,-1293,-380
"3113",20,4,-1,-5,5,-11,-1,-1,0,0,0,-64,18,1,-3644,-1277
"3114",-2,-1,-1,-2,2,-1,-1,-1,0,0,-0.2,3,-23,0,-1095,-249
"3115",0,1,1,3,-3,2,2,1,1,0,0.2,2,5,1,2359,1681
"3116",-1,0,1,0,0,-2,-1,-1,0,0,0.2,69,-9,1,699,944
"3117",4,4,-1,3,-3,0,-1,-1,0,0,0.6,-35,3,0,453,1426
"3118",-22,-1,1,6,-6,9,-2,-1,-1,-1,0.2,-19,-15,1,1769,319
"3119",-5,-1,1,-1,1,0,0,1,-1,-1,-0.4,-55,-21,0,-3240,-2396
"3120",8,-3,1,3,-3,-1,1,1,0,0,0,27,9,1,1936,1098
"3121",0,0,1,-1,1,-3,1,1,0,0,-0.600000000000001,25,-6,1,-393,-1504
"3122",0,0,-1,3,-3,7,1,0,1,0,0.199999999999999,-7,9,0,620,339
"3123",2,0,1,-3,3,-8,0,-1,1,0,0,11,8,0,-691,-666
"3124",-3,1,1,3,-3,3,1,1,0,0,0.4,-15,4,1,1357,614
"3125",1,-2,1,0,0,0,1,1,0,0,-0.2,-11,-4,0,-12,-151
"3126",-43,4,1,-3,3,-3,-2,-1,-1,0,-0.8,-31,-36,0,-2690,-3245
"3127",24,2,-1,-3,3,-1,0,-1,1,0,-0.2,-24,-1,0,-2240,-1623
"3128",0,-1,1,-5,5,-12,-2,-1,-1,0,-0.8,-12,-11,1,-2765,-2274
"3129",2,3,1,4,-4,7,1,1,0,0,-0.2,-45,3,0,-82,280
"3130",4,-14,-1,4,-4,3,-1,0,-1,0,0.600000000000001,26,8,1,2230,2112
"3131",1,1,-1,-2,2,-1,0,0,0,0,-0.2,-6,-11,0,-1661,-1064
"3132",-3,1,1,3,-3,2,0,0,0,0,-0.2,29,8,0,1720,1364
"3133",8,-2,-1,-1,1,-1,0,0,0,0,0,26,9,0,211,880
"3134",-73,0,1,-1,1,-3,-1,-1,0,0,-0.6,6,7,0,-27,-1847
"3135",-2,-2,-1,-9,9,-10,-1,-1,0,0,-0.8,-25,-23,0,-5142,-3023
"3136",-2,-1,1,3,-3,3,2,1,1,0,0.2,14,-2,1,1818,1761
"3137",2,-1,-1,-7,7,-7,-2,-1,-1,-1,-1,-64,-13,0,-5571,-3921
"3138",-3,-3,-1,-6,6,1,-2,-1,-1,0,-1,2,-4,0,-1734,-3696
"3139",-3,3,1,0,0,0,-1,-1,0,0,-0.4,26,-12,0,704,-123
"3140",-4,5,-1,-2,2,-4,2,1,1,0,-0.8,-50,7,0,-2657,-2095
"3141",19,2,1,1,-1,2,0,1,-1,0,0.4,-18,8,1,-377,842
"3142",-3,-3,1,6,-6,5,0,-1,1,0,0.800000000000001,32,2,1,3037,2677
"3143",73,1,-1,2,-2,0,0,-1,1,0,0.600000000000001,-10,8,0,459,1388
"3144",28,-8,1,-5,5,2,1,1,0,0,-0.800000000000001,-49,-12,1,-2986,-3369
"3145",2,2,1,1,-1,1,1,1,0,0,0,35,-1,1,1699,638
"3146",4,0,1,16,-16,17,1,1,0,0,0.800000000000001,57,0,1,7873,5225
"3147",1,1,-1,3,-3,-1,0,-1,1,1,0.600000000000001,50,-15,1,3534,2345
"3148",0,-1,1,-1,1,-4,0,-1,1,0,0,12,-10,1,400,-213
